Week,Thousand Barrels p/Day
"Apr 21, 2000",8616
"Apr 28, 2000",8302
"May 05, 2000",8679
"May 12, 2000",8242
"May 19, 2000",8408
"May 26, 2000",9075
"Jun 02, 2000",8863
"Jun 09, 2000",8403
"Jun 16, 2000",8895
"Jun 23, 2000",8475
"Jun 30, 2000",8620
"Jul 07, 2000",8519
"Jul 14, 2000",8844
"Jul 21, 2000",8361
"Jul 28, 2000",8614
"Aug 04, 2000",8759
"Aug 11, 2000",8813
"Aug 18, 2000",8786
"Aug 25, 2000",8960
"Sep 01, 2000",8644
"Sep 08, 2000",8573
"Sep 15, 2000",8814
"Sep 22, 2000",8153
"Sep 29, 2000",7819
"Oct 06, 2000",8340
"Oct 13, 2000",8663
"Oct 20, 2000",8604
"Oct 27, 2000",8942
"Nov 03, 2000",8780
"Nov 10, 2000",8216
"Nov 17, 2000",8419
"Nov 24, 2000",8063
"Dec 01, 2000",8233
"Dec 08, 2000",8711
"Dec 15, 2000",8475
"Dec 22, 2000",8400
"Dec 29, 2000",8693
"Jan 05, 2001",7825
"Jan 12, 2001",8225
"Jan 19, 2001",7894
"Jan 26, 2001",7338
"Feb 02, 2001",8589
"Feb 09, 2001",8032
"Feb 16, 2001",7850
"Feb 23, 2001",8187
"Mar 02, 2001",8489
"Mar 09, 2001",8425
"Mar 16, 2001",8484
"Mar 23, 2001",8475
"Mar 30, 2001",8507
"Apr 06, 2001",8306
"Apr 13, 2001",8438
"Apr 20, 2001",8708
"Apr 27, 2001",8404
"May 04, 2001",8665
"May 11, 2001",8275
"May 18, 2001",8917
"May 25, 2001",8270
"Jun 01, 2001",8809
"Jun 08, 2001",8428
"Jun 15, 2001",8393
"Jun 22, 2001",8921
"Jun 29, 2001",9036
"Jul 06, 2001",8622
"Jul 13, 2001",9095
"Jul 20, 2001",9176
"Jul 27, 2001",9007
"Aug 03, 2001",8959
"Aug 10, 2001",8671
"Aug 17, 2001",9035
"Aug 24, 2001",8943
"Aug 31, 2001",8612
"Sep 07, 2001",8529
"Sep 14, 2001",8969
"Sep 21, 2001",7834
"Sep 28, 2001",8514
"Oct 05, 2001",8500
"Oct 12, 2001",8766
"Oct 19, 2001",8619
"Oct 26, 2001",8702
"Nov 02, 2001",8797
"Nov 09, 2001",8771
"Nov 16, 2001",8612
"Nov 23, 2001",8868
"Nov 30, 2001",8517
"Dec 07, 2001",8327
"Dec 14, 2001",8622
"Dec 21, 2001",8888
"Dec 28, 2001",8860
"Jan 04, 2002",8288
"Jan 11, 2002",8359
"Jan 18, 2002",8049
"Jan 25, 2002",8184
"Feb 01, 2002",8223
"Feb 08, 2002",8117
"Feb 15, 2002",8428
"Feb 22, 2002",8729
"Mar 01, 2002",8782
"Mar 08, 2002",8277
"Mar 15, 2002",8713
"Mar 22, 2002",8621
"Mar 29, 2002",8386
"Apr 05, 2002",8865
"Apr 12, 2002",8840
"Apr 19, 2002",8684
"Apr 26, 2002",8699
"May 03, 2002",8521
"May 10, 2002",8548
"May 17, 2002",9190
"May 24, 2002",8685
"May 31, 2002",8778
"Jun 07, 2002",9004
"Jun 14, 2002",8771
"Jun 21, 2002",8752
"Jun 28, 2002",9172
"Jul 05, 2002",9004
"Jul 12, 2002",8985
"Jul 19, 2002",9056
"Jul 26, 2002",9093
"Aug 02, 2002",9297
"Aug 09, 2002",9270
"Aug 16, 2002",8939
"Aug 23, 2002",9173
"Aug 30, 2002",9135
"Sep 06, 2002",8844
"Sep 13, 2002",8899
"Sep 20, 2002",8625
"Sep 27, 2002",8582
"Oct 04, 2002",8895
"Oct 11, 2002",9090
"Oct 18, 2002",8653
"Oct 25, 2002",9022
"Nov 01, 2002",9324
"Nov 08, 2002",8759
"Nov 15, 2002",8540
"Nov 22, 2002",8667
"Nov 29, 2002",9060
"Dec 06, 2002",8616
"Dec 13, 2002",8854
"Dec 20, 2002",9063
"Dec 27, 2002",8989
"Jan 03, 2003",8411
"Jan 10, 2003",8335
"Jan 17, 2003",8645
"Jan 24, 2003",8793
"Jan 31, 2003",8551
"Feb 07, 2003",8106
"Feb 14, 2003",8454
"Feb 21, 2003",8619
"Feb 28, 2003",8421
"Mar 07, 2003",9020
"Mar 14, 2003",8596
"Mar 21, 2003",8666
"Mar 28, 2003",8284
"Apr 04, 2003",8458
"Apr 11, 2003",8640
"Apr 18, 2003",8737
"Apr 25, 2003",8358
"May 02, 2003",8834
"May 09, 2003",8894
"May 16, 2003",8992
"May 23, 2003",9299
"May 30, 2003",8516
"Jun 06, 2003",8529
"Jun 13, 2003",8880
"Jun 20, 2003",8833
"Jun 27, 2003",9476
"Jul 04, 2003",9050
"Jul 11, 2003",8763
"Jul 18, 2003",9177
"Jul 25, 2003",9563
"Aug 01, 2003",9303
"Aug 08, 2003",9381
"Aug 15, 2003",9325
"Aug 22, 2003",9668
"Aug 29, 2003",9337
"Sep 05, 2003",8886
"Sep 12, 2003",8974
"Sep 19, 2003",9166
"Sep 26, 2003",8690
"Oct 03, 2003",9190
"Oct 10, 2003",9156
"Oct 17, 2003",8754
"Oct 24, 2003",9413
"Oct 31, 2003",9316
"Nov 07, 2003",8995
"Nov 14, 2003",9232
"Nov 21, 2003",8725
"Nov 28, 2003",8979
"Dec 05, 2003",8776
"Dec 12, 2003",8930
"Dec 19, 2003",9166
"Dec 26, 2003",8726
"Jan 02, 2004",8686
"Jan 09, 2004",8411
"Jan 16, 2004",8426
"Jan 23, 2004",8543
"Jan 30, 2004",8514
"Feb 06, 2004",8627
"Feb 13, 2004",8727
"Feb 20, 2004",8796
"Feb 27, 2004",8970
"Mar 05, 2004",8968
"Mar 12, 2004",9044
"Mar 19, 2004",8818
"Mar 26, 2004",8731
"Apr 02, 2004",9249
"Apr 09, 2004",9338
"Apr 16, 2004",8973
"Apr 23, 2004",9255
"Apr 30, 2004",8926
"May 07, 2004",9373
"May 14, 2004",9119
"May 21, 2004",9154
"May 28, 2004",9259
"Jun 04, 2004",9045
"Jun 11, 2004",9219
"Jun 18, 2004",9194
"Jun 25, 2004",9199
"Jul 02, 2004",9398
"Jul 09, 2004",9300
"Jul 16, 2004",8840
"Jul 23, 2004",9310
"Jul 30, 2004",9263
"Aug 06, 2004",9472
"Aug 13, 2004",9521
"Aug 20, 2004",9424
"Aug 27, 2004",9267
"Sep 03, 2004",9453
"Sep 10, 2004",9234
"Sep 17, 2004",9005
"Sep 24, 2004",8922
"Oct 01, 2004",8915
"Oct 08, 2004",8917
"Oct 15, 2004",9177
"Oct 22, 2004",8883
"Oct 29, 2004",8977
"Nov 05, 2004",9217
"Nov 12, 2004",9237
"Nov 19, 2004",8988
"Nov 26, 2004",9204
"Dec 03, 2004",9107
"Dec 10, 2004",9268
"Dec 17, 2004",9068
"Dec 24, 2004",9329
"Dec 31, 2004",9287
"Jan 07, 2005",8710
"Jan 14, 2005",8695
"Jan 21, 2005",8881
"Jan 28, 2005",8848
"Feb 04, 2005",8837
"Feb 11, 2005",8825
"Feb 18, 2005",8898
"Feb 25, 2005",8884
"Mar 04, 2005",9014
"Mar 11, 2005",9131
"Mar 18, 2005",9069
"Mar 25, 2005",9075
"Apr 01, 2005",9095
"Apr 08, 2005",9089
"Apr 15, 2005",9170
"Apr 22, 2005",9306
"Apr 29, 2005",9024
"May 06, 2005",9175
"May 13, 2005",9269
"May 20, 2005",9443
"May 27, 2005",9461
"Jun 03, 2005",9451
"Jun 10, 2005",9528
"Jun 17, 2005",9313
"Jun 24, 2005",9367
"Jul 01, 2005",9721
"Jul 08, 2005",9391
"Jul 15, 2005",9415
"Jul 22, 2005",9449
"Jul 29, 2005",9586
"Aug 05, 2005",9483
"Aug 12, 2005",9408
"Aug 19, 2005",9471
"Aug 26, 2005",9406
"Sep 02, 2005",9027
"Sep 09, 2005",8636
"Sep 16, 2005",8819
"Sep 23, 2005",8836
"Sep 30, 2005",8840
"Oct 07, 2005",8783
"Oct 14, 2005",8961
"Oct 21, 2005",8981
"Oct 28, 2005",9045
"Nov 04, 2005",9246
"Nov 11, 2005",9151
"Nov 18, 2005",9124
"Nov 25, 2005",9189
"Dec 02, 2005",9221
"Dec 09, 2005",9268
"Dec 16, 2005",9326
"Dec 23, 2005",9249
"Dec 30, 2005",9358
"Jan 06, 2006",8950
"Jan 13, 2006",8859
"Jan 20, 2006",8826
"Jan 27, 2006",8879
"Feb 03, 2006",8967
"Feb 10, 2006",9083
"Feb 17, 2006",9046
"Feb 24, 2006",8951
"Mar 03, 2006",9057
"Mar 10, 2006",9106
"Mar 17, 2006",9100
"Mar 24, 2006",9054
"Mar 31, 2006",9063
"Apr 07, 2006",9297
"Apr 14, 2006",9100
"Apr 21, 2006",9012
"Apr 28, 2006",9099
"May 05, 2006",9346
"May 12, 2006",9327
"May 19, 2006",9193
"May 26, 2006",9430
"Jun 02, 2006",9367
"Jun 09, 2006",9413
"Jun 16, 2006",9429
"Jun 23, 2006",9540
"Jun 30, 2006",9645
"Jul 07, 2006",9621
"Jul 14, 2006",9569
"Jul 21, 2006",9573
"Jul 28, 2006",9639
"Aug 04, 2006",9697
"Aug 11, 2006",9530
"Aug 18, 2006",9571
"Aug 25, 2006",9610
"Sep 01, 2006",9622
"Sep 08, 2006",9368
"Sep 15, 2006",9229
"Sep 22, 2006",9287
"Sep 29, 2006",9081
"Oct 06, 2006",9242
"Oct 13, 2006",9298
"Oct 20, 2006",9511
"Oct 27, 2006",9499
"Nov 03, 2006",9256
"Nov 10, 2006",9110
"Nov 17, 2006",9149
"Nov 24, 2006",9320
"Dec 01, 2006",9477
"Dec 08, 2006",9394
"Dec 15, 2006",9491
"Dec 22, 2006",9229
"Dec 29, 2006",9247
"Jan 05, 2007",9201
"Jan 12, 2007",9060
"Jan 19, 2007",9008
"Jan 26, 2007",9090
"Feb 02, 2007",9136
"Feb 09, 2007",9061
"Feb 16, 2007",9198
"Feb 23, 2007",9121
"Mar 02, 2007",9191
"Mar 09, 2007",9158
"Mar 16, 2007",9240
"Mar 23, 2007",9250
"Mar 30, 2007",9491
"Apr 06, 2007",9472
"Apr 13, 2007",9247
"Apr 20, 2007",9163
"Apr 27, 2007",9260
"May 04, 2007",9344
"May 11, 2007",9404
"May 18, 2007",9433
"May 25, 2007",9485
"Jun 01, 2007",9495
"Jun 08, 2007",9487
